"id","ubigeo","codigo","codigo_departamento","nombre","latitud","longitud","departamento_id"
44,"0502","02","05", CANGALLO,-13.496470,-74.547720,5
45,"0503","03","05", HUANCA SANCOS,-13.918070,-74.514770,5
46,"0504","04","05", HUANTA,-12.581370,-74.135740,5
47,"0505","05","05", LA MAR,-12.993850,-73.833610,5
48,"0506","06","05", LUCANAS,-14.594210,-74.371940,5
49,"0507","07","05", PARINACOCHAS,-15.003160,-73.619380,5
50,"0508","08","05", PÀUCAR DEL SARA SARA,-15.151670,-73.300780,5
51,"0509","09","05", SUCRE,-14.141900,-73.756710,5
52,"0510","10","05", VÍCTOR FAJARDO,-13.715370,-74.218130,5
53,"0511","11","05", VILCAS HUAMÁN,-13.645980,-73.905020,5
54,"0601","01","06", CAJAMARCA,-7.169020,-78.458860,6
55,"0602","02","06", CAJABAMBA,-7.544930,-78.019400,6
56,"0603","03","06", CELENDÍN,-6.869160,-78.186950,6
57,"0604","04","06", CHOTA,-6.498170,-78.567350,6
58,"0605","05","06", CONTUMAZÁ,-7.363820,-78.954620,6
59,"0606","06","06", CUTERVO,-6.167860,-78.840630,6
60,"0607","07","06", HUALGAYOC,-6.710980,-78.534390,6
61,"0608","08","06", JAÉN,-5.714370,-79.010920,6
62,"0609","09","06", SAN IGNACIO,-5.192150,-78.972470,6
63,"0610","10","06", SAN MARCOS,-7.297080,-77.994680,6
64,"0611","11","06", SAN MIGUEL,-7.019120,-78.925780,6
65,"0612","12","06", SAN PABLO,-7.084430,-78.700960,6
66,"0613","13","06", SANTA CRUZ,-6.680970,-78.928520,6
67,"0701","01","07",CALLAO,-11.947970,-77.124710,7
68,"0801","01","08", CUSCO,-13.531180,-71.932980,8
69,"0802","02","08", ACOMAYO,-13.971380,-71.658320,8
70,"0803","03","08", ANTA,-13.501810,-72.273550,8
71,"0804","04","08", CALCA,-13.031310,-72.042840,8
72,"0805","05","08", CANAS,-14.461270,-71.422110,8
73,"0806","06","08", CANCHIS,-14.120600,-71.032100,8
74,"0807","07","08", CHUMBIVILCAS,-14.455950,-71.889030,8
75,"0808","08","08", ESPINAR,-14.827990,-71.356200,8
76,"0809","09","08", LA CONVENCIÓN,-12.302430,-73.031610,8
77,"0810","10","08", PARURO,-13.747380,-71.954950,8
78,"0811","11","08", PAUCARTAMBO,-13.122270,-71.460570,8
79,"0812","12","08", QUISPICANCHI,-13.549880,-70.977170,8
80,"0813","13","08", URUBAMBA,-13.239940,-72.268060,8
81,"0901","01","09", HUANCAVELICA,-12.747510,-74.970700,9
82,"0902","02","09", ACOBAMBA,-12.841250,-74.476310,9
83,"0903","03","09", ANGARAES,-13.033990,-74.544980,9
84,"0904","04","09", CASTROVIRREYNA,-13.149020,-75.360710,9
85,"0905","05","09", CHURCAMPA,-12.610850,-74.432370,9
86,"0906","06","09", HUAYTARÁ,-13.640640,-75.064080,9
87,"0907","07","09", TAYACAJA,-12.246070,-74.723510,9
88,"1001","01","10", HUÁNUCO,-9.838970,-76.179190,10
89,"1002","02","10", AMBO,-10.209510,-76.173700,10
90,"1003","03","10", DOS DE MAYO,-9.627820,-76.500540,10
91,"1004","04","10", HUACAYBAMBA,-8.982740,-76.703790,10
92,"1005","05","10", HUAMALÍES,-9.403000,-76.506040,10
93,"1006","06","10", LEONCIO PRADO,-9.085820,-76.008910,10
94,"1007","07","10", MARAÑÓN,-8.722210,-76.613150,10
95,"1008","08","10", PACHITEA,-10.025650,-75.838620,10
96,"1009","09","10", PUERTO INCA,-9.481570,-74.981680,10
97,"1010","10","10", LAURICOCHA ,-10.198700,-76.626890,10
98,"1011","11","10", YAROWILCA ,-9.811910,-76.560970,10
99,"1101","01","11", ICA ,-14.264380,-75.607910,11
100,"1102","02","11", CHINCHA ,-13.288060,-75.926510,11
101,"1103","03","11", NASCA ,-14.944780,-75.036620,11
